[B9S2] : dis=31  1609939442760ms
[B9S2] : dis=32  1609939442816ms
[B9S2] : dis=31  1609939442930ms
[B9S2] : dis=32  1609939442998ms
[B9S2] : dis=31  1609939444100ms
[B9S2] : dis=32  1609939444157ms
[B9S2] : dis=31  1609939444272ms
[B9S2] : dis=32  1609939444330ms
[B9S2] : dis=31  1609939444962ms
[B9S2] : dis=32  1609939445021ms
[B9S2] : dis=31  1609939445674ms
[B9S2] : dis=32  1609939445731ms
[B9S2] : dis=31  1609939446122ms
[B9S2] : dis=32  1609939446236ms
[B9S2] : dis=31  1609939446950ms
[B9S2] : dis=32  1609939447063ms
[B9S2] : dis=31  1609939447398ms
[B9S2] : dis=32  1609939447455ms
[B9S2] : dis=31  1609939447572ms
[B9S2] : dis=32  1609939447630ms
[B9S2] : dis=31  1609939448021ms
[B9S2] : dis=32  1609939448094ms
[B9S2] : dis=31  1609939448325ms
[B9S2] : dis=32  1609939448386ms
[B9S2] : dis=31  1609939448617ms
[B9S2] : dis=32  1609939448674ms
[B9S2] : dis=31  1609939450395ms
[B9S2] : dis=32  1609939450453ms
[B9S2] : dis=31  1609939451576ms
[B9S2] : dis=32  1609939451642ms
[B9S2] : dis=31  1609939452091ms
[B9S2] : dis=32  1609939452148ms
[B9S2] : dis=31  1609939452372ms
[B9S2] : dis=32  1609939452430ms
[B9S2] : dis=31  1609939452488ms
[B9S2] : dis=32  1609939452547ms
[B9S2] : dis=31  1609939452604ms
[B9S2] : dis=32  1609939452662ms
[B9S2] : dis=31  1609939454209ms
[B9S2] : dis=32  1609939454265ms
[B9S2] : dis=31  1609939454616ms
[B9S2] : dis=32  1609939454683ms
[B9S2] : dis=31  1609939456710ms
[B9S2] : dis=32  1609939456776ms
[B9S2] : dis=31  1609939457012ms
[B9S2] : dis=32  1609939457069ms
[B9S2] : dis=31  1609939457971ms
[B9S2] : dis=32  1609939458030ms
[B9S2] : dis=33  1609939458653ms
[B9S2] : dis=27  1609939458710ms
[B9S2] : dis=32  1609939458769ms
[B9S2] : dis=31  1609939460185ms
[B9S2] : dis=32  1609939460242ms
[B9S2] : dis=31  1609939460578ms
[B9S2] : dis=32  1609939460635ms
[B9S2] : dis=31  1609939460862ms
[B9S2] : dis=32  1609939460975ms
[B9S2] : dis=31  1609939462021ms
[B9S2] : dis=32  1609939462132ms
[B9S2] : dis=31  1609939462522ms
[B9S2] : dis=32  1609939462579ms
[B9S2] : dis=31  1609939465332ms
[B9S2] : dis=32  1609939465388ms
[B9S2] : dis=31  1609939467178ms
[B9S2] : dis=32  1609939467239ms
[B9S2] : dis=31  1609939468701ms
[B9S2] : dis=32  1609939468759ms
[B9S2] : dis=31  1609939470763ms
[B9S2] : dis=32  1609939470821ms
[B9S2] : dis=31  1609939471794ms
[B9S2] : dis=32  1609939471852ms
[B9S2] : dis=31  1609939472300ms
[B9S2] : dis=32  1609939472356ms
[B9S2] : dis=34  1609939473403ms
[B9S2] : dis=32  1609939473460ms
[B9S2] : dis=31  1609939474132ms
[B9S2] : dis=32  1609939474189ms
[B9S2] : dis=31  1609939475166ms
[B9S2] : dis=32  1609939475226ms
[B9S2] : dis=31  1609939475397ms
[B9S2] : dis=32  1609939475454ms
[B9S2] : dis=31  1609939475511ms
[B9S2] : dis=32  1609939475568ms
[B9S2] : dis=31  1609939477599ms
[B9S2] : dis=32  1609939477655ms
[B9S2] : dis=31  1609939480416ms
[B9S2] : dis=32  1609939480473ms
[B9S2] : dis=31  1609939480807ms
[B9S2] : dis=32  1609939480865ms
[B9S2] : dis=31  1609939481562ms
[B9S2] : dis=32  1609939481620ms
[B9S2] : dis=31  1609939482344ms
[B9S2] : dis=32  1609939482401ms
[B9S2] : dis=31  1609939484151ms
[B9S2] : dis=32  1609939484218ms
[B9S2] : dis=31  1609939484854ms
[B9S2] : dis=32  1609939484911ms
[B9S2] : dis=31  1609939487060ms
[B9S2] : dis=32  1609939487173ms
[B9S2] : dis=31  1609939487340ms
[B9S2] : dis=32  1609939487396ms
[B9S2] : dis=31  1609939489120ms
[B9S2] : dis=32  1609939489176ms
[B9S2] : dis=31  1609939489991ms
[B9S2] : dis=32  1609939490047ms
[B9S2] : dis=31  1609939490437ms
[B9S2] : dis=32  1609939490495ms
[B9S2] : dis=31  1609939493496ms
[B9S2] : dis=32  1609939493553ms
[B9S2] : dis=31  1609939494004ms
[B9S2] : dis=32  1609939494064ms
[B9S2] : dis=31  1609939495102ms
[B9S2] : dis=32  1609939495158ms
[B9S2] : dis=31  1609939495664ms
[B9S2] : dis=32  1609939495731ms
[B9S2] : dis=31  1609939497148ms
[B9S2] : dis=32  1609939497204ms
[B9S2] : dis=31  1609939498410ms
[B9S2] : dis=32  1609939498466ms
[B9S2] : dis=31  1609939498522ms
[B9S2] : dis=32  1609939498580ms
[B9S2] : dis=31  1609939499692ms
[B9S2] : dis=32  1609939499753ms
[B9S2] : dis=31  1609939500086ms
[B9S2] : dis=32  1609939500147ms
[B9S2] : dis=31  1609939500604ms
[B9S2] : dis=32  1609939500674ms
[B9S2] : dis=31  1609939500906ms
[B9S2] : dis=32  1609939500974ms
[B9S2] : dis=31  1609939501320ms
[B9S2] : dis=32  1609939501376ms
[B9S2] : dis=31  1609939502680ms
[B9S2] : dis=32  1609939502737ms
[B9S2] : dis=32  1609939505803ms
[B9S2] : dis=31  1609939506770ms
[B9S2] : dis=32  1609939506826ms
[B9S2] : dis=31  1609939506941ms
[B9S2] : dis=32  1609939506999ms
[B9S2] : dis=31  1609939508016ms
[B9S2] : dis=32  1609939508075ms
[B9S2] : dis=31  1609939508986ms
[B9S2] : dis=32  1609939509053ms
[B9S2] : dis=31  1609939509498ms
[B9S2] : dis=32  1609939509555ms
[B9S2] : dis=31  1609939509612ms
[B9S2] : dis=32  1609939509669ms
[B9S2] : dis=31  1609939510058ms
[B9S2] : dis=32  1609939510171ms
[B9S2] : dis=31  1609939512664ms
[B9S2] : dis=32  1609939512721ms
[B9S2] : dis=31  1609939514460ms
[B9S2] : dis=32  1609939514520ms
[B9S2] : dis=31  1609939515717ms
[B9S2] : dis=32  1609939515777ms
[B9S2] : dis=31  1609939516392ms
[B9S2] : dis=32  1609939516449ms
[B9S2] : dis=31  1609939516618ms
[B9S2] : dis=32  1609939516676ms
[B9S2] : dis=31  1609939517663ms
[B9S2] : dis=32  1609939517722ms
[B9S2] : dis=31  1609939517780ms
[B9S2] : dis=32  1609939517839ms
[B9S2] : dis=31  1609939518976ms
[B9S2] : dis=32  1609939519034ms
[B9S2] : dis=31  1609939519761ms
[B9S2] : dis=32  1609939519817ms
[B9S2] : dis=31  1609939520119ms
[B9S2] : dis=32  1609939520361ms
[B9S2] : dis=31  1609939521485ms
[B9S2] : dis=32  1609939521542ms
[B9S2] : dis=31  1609939522353ms
[B9S2] : dis=32  1609939522411ms
[B9S2] : dis=31  1609939522690ms
[B9S2] : dis=32  1609939522746ms
[B9S2] : dis=31  1609939523250ms
[B9S2] : dis=32  1609939523312ms
[B9S2] : dis=31  1609939523603ms
[B9S2] : dis=32  1609939523725ms
[B9S2] : dis=31  1609939525583ms
[B9S2] : dis=32  1609939525640ms
[B9S2] : dis=31  1609939525696ms
[B9S2] : dis=32  1609939525753ms
[B9S2] : dis=31  1609939527227ms
[B9S2] : dis=32  1609939527285ms
[B9S2] : dis=31  1609939527455ms
[B9S2] : dis=32  1609939527512ms
[B9S2] : dis=31  1609939530230ms
[B9S2] : dis=32  1609939530286ms
[B9S2] : dis=31  1609939530695ms
[B9S2] : dis=32  1609939530754ms
[B9S2] : dis=31  1609939531032ms
[B9S2] : dis=32  1609939531089ms
[B9S2] : dis=28  1609939531256ms
[B9S2] : dis=31  1609939531316ms
[B9S2] : dis=32  1609939531391ms
[B9S2] : dis=31  1609939531884ms
[B9S2] : dis=32  1609939531948ms
[B9S2] : dis=31  1609939532122ms
[B9S2] : dis=32  1609939532180ms
[B9S2] : dis=31  1609939532512ms
[B9S2] : dis=32  1609939532569ms
[B9S2] : dis=31  1609939533896ms
[B9S2] : dis=32  1609939533955ms
[B9S2] : dis=31  1609939536977ms
[B9S2] : dis=32  1609939537034ms
[B9S2] : dis=31  1609939537372ms
[B9S2] : dis=32  1609939537432ms
[B9S2] : dis=31  1609939539081ms
[B9S2] : dis=32  1609939539139ms
[B9S2] : dis=31  1609939541671ms
[B9S2] : dis=32  1609939541730ms
[B9S2] : dis=31  1609939541843ms
[B9S2] : dis=32  1609939541900ms
[B9S2] : dis=31  1609939541957ms
[B9S2] : dis=32  1609939542014ms
[B9S2] : dis=31  1609939543465ms
[B9S2] : dis=32  1609939543524ms
[B9S2] : dis=31  1609939544025ms
[B9S2] : dis=32  1609939544083ms
[B9S2] : dis=31  1609939545190ms
[B9S2] : dis=32  1609939545302ms
[B9S2] : dis=31  1609939545470ms
[B9S2] : dis=32  1609939545529ms
[B9S2] : dis=31  1609939547392ms
[B9S2] : dis=32  1609939547449ms
[B9S2] : dis=31  1609939547674ms
[B9S2] : dis=32  1609939547740ms
[B9S2] : dis=31  1609939548655ms
[B9S2] : dis=32  1609939548713ms
[B9S2] : dis=31  1609939549049ms
[B9S2] : dis=32  1609939549110ms
[B9S2] : dis=31  1609939549166ms
[B9S2] : dis=32  1609939549223ms
[B9S2] : dis=31  1609939550614ms
[B9S2] : dis=32  1609939550729ms
[B9S2] : dis=31  1609939551007ms
[B9S2] : dis=32  1609939551074ms
[B9S2] : dis=31  1609939552920ms
[B9S2] : dis=32  1609939552976ms
[B9S2] : dis=31  1609939555311ms
[B9S2] : dis=32  1609939555368ms
[B9S2] : dis=31  1609939556101ms
[B9S2] : dis=32  1609939556172ms
[B9S2] : dis=31  1609939557102ms
[B9S2] : dis=32  1609939557160ms
[B9S2] : dis=31  1609939558699ms
[B9S2] : dis=32  1609939558756ms
[B9S2] : dis=31  1609939559092ms
[B9S2] : dis=32  1609939559149ms
[B9S2] : dis=31  1609939559205ms
[B9S2] : dis=32  1609939559263ms
[B9S2] : dis=31  1609939559903ms
[B9S2] : dis=32  1609939559962ms
[B9S2] : dis=31  1609939561650ms
[B9S2] : dis=32  1609939561765ms
[B9S2] : dis=32  1609939564780ms
[B9S2] : dis=31  1609939564896ms
[B9S2] : dis=32  1609939565009ms
[B9S2] : dis=31  1609939565454ms
[B9S2] : dis=32  1609939565519ms
[B9S2] : dis=31  1609939568465ms
[B9S2] : dis=32  1609939568523ms
[B9S2] : dis=31  1609939568691ms
[B9S2] : dis=32  1609939568747ms
[B9S2] : dis=31  1609939569761ms
[B9S2] : dis=32  1609939569818ms
[B9S2] : dis=31  1609939570374ms
[B9S2] : dis=32  1609939570432ms
[B9S2] : dis=31  1609939570601ms
[B9S2] : dis=32  1609939570657ms
[B9S2] : dis=32  1609939573693ms
[B9S2] : dis=31  1609939575397ms
[B9S2] : dis=32  1609939575510ms
[B9S2] : dis=31  1609939575566ms
[B9S2] : dis=32  1609939575627ms
[B9S2] : dis=31  1609939575917ms
[B9S2] : dis=32  1609939575985ms
[B9S2] : dis=31  1609939576616ms
[B9S2] : dis=32  1609939576674ms
[B9S2] : dis=34  1609939578003ms
[B9S2] : dis=32  1609939578063ms
[B9S2] : dis=31  1609939578398ms
[B9S2] : dis=32  1609939578455ms
[B9S2] : dis=31  1609939579982ms
[B9S2] : dis=32  1609939580040ms
[B9S2] : dis=31  1609939580097ms
[B9S2] : dis=32  1609939580210ms
[B9S2] : dis=31  1609939580432ms
[B9S2] : dis=32  1609939580489ms
[B9S2] : dis=31  1609939582198ms
[B9S2] : dis=32  1609939582255ms
[B9S2] : dis=31  1609939583341ms
[B9S2] : dis=32  1609939583398ms
[B9S2] : dis=31  1609939583736ms
[B9S2] : dis=32  1609939583793ms
[B9S2] : dis=33  1609939586025ms
[B9S2] : dis=32  1609939586082ms
[B9S2] : dis=31  1609939586252ms
[B9S2] : dis=32  1609939586309ms
[B9S2] : dis=31  1609939586643ms
[B9S2] : dis=32  1609939586701ms
[B9S2] : dis=31  1609939587315ms
[B9S2] : dis=32  1609939587379ms
[B9S2] : dis=31  1609939588160ms
[B9S2] : dis=32  1609939588217ms
[B9S2] : dis=31  1609939589590ms
[B9S2] : dis=32  1609939589651ms
[B9S2] : dis=31  1609939590496ms
[B9S2] : dis=32  1609939590565ms
[B9S2] : dis=31  1609939591083ms
[B9S2] : dis=32  1609939591141ms
[B9S2] : dis=31  1609939591700ms
[B9S2] : dis=32  1609939591756ms
[B9S2] : dis=31  1609939592626ms
[B9S2] : dis=32  1609939592684ms
[B9S2] : dis=31  1609939592911ms
[B9S2] : dis=32  1609939592967ms
[B9S2] : dis=31  1609939594101ms
[B9S2] : dis=32  1609939594163ms
[B9S2] : dis=31  1609939594720ms
[B9S2] : dis=32  1609939594833ms
[B9S2] : dis=31  1609939595176ms
[B9S2] : dis=32  1609939595243ms
[B9S2] : dis=31  1609939596302ms
[B9S2] : dis=32  1609939596360ms
[B9S2] : dis=31  1609939596805ms
[B9S2] : dis=32  1609939596862ms
[B9S2] : dis=31  1609939597505ms
[B9S2] : dis=32  1609939597676ms
[B9S2] : dis=31  1609939598406ms
[B9S2] : dis=32  1609939598475ms
[B9S2] : dis=31  1609939600022ms
[B9S2] : dis=32  1609939600091ms
[B9S2] : dis=31  1609939600999ms
[B9S2] : dis=32  1609939601056ms
[B9S2] : dis=31  1609939602545ms
[B9S2] : dis=32  1609939602715ms
[B9S2] : dis=31  1609939604027ms
[B9S2] : dis=32  1609939604086ms
[B9S2] : dis=31  1609939606583ms
[B9S2] : dis=32  1609939606641ms
[B9S2] : dis=31  1609939609314ms
[B9S2] : dis=32  1609939609372ms
[B9S2] : dis=31  1609939609595ms
