[B5S2] : dis=25  2021-04-24 05:39:40.979  net_delay = 26ms  time_gap =3.033s  termId = 214
[B5S2] : dis=25  2021-04-24 05:39:44.023  net_delay = 26ms  time_gap =3.044s  termId = 215
[B5S2] : dis=25  2021-04-24 05:39:47.068  net_delay = 27ms  time_gap =3.045s  termId = 216
[B5S2] : dis=25  2021-04-24 05:39:50.078  net_delay = 27ms  time_gap =3.010s  termId = 217
[B5S2] : dis=25  2021-04-24 05:39:53.107  net_delay = 17ms  time_gap =3.029s  termId = 218
[B5S2] : dis=25  2021-04-24 05:39:56.124  net_delay = 36ms  time_gap =3.017s  termId = 219
[B5S2] : dis=25  2021-04-24 05:39:59.164  net_delay = 37ms  time_gap =3.040s  termId = 220
[B5S2] : dis=25  2021-04-24 05:40:02.198  net_delay = 26ms  time_gap =3.034s  termId = 221
[B5S2] : dis=25  2021-04-24 05:40:05.200  net_delay = 31ms  time_gap =3.002s  termId = 222
[B5S2] : dis=25  2021-04-24 05:40:08.211  net_delay = 26ms  time_gap =3.011s  termId = 223
[B5S2] : dis=25  2021-04-24 05:40:11.269  net_delay = 30ms  time_gap =3.058s  termId = 224
[B5S2] : dis=25  2021-04-24 05:40:14.301  net_delay = 37ms  time_gap =3.032s  termId = 225
[B5S2] : dis=25  2021-04-24 05:40:17.339  net_delay =315ms  time_gap =3.038s  termId = 226
[B5S2] : dis=25  2021-04-24 05:40:20.366  net_delay = 27ms  time_gap =3.027s  termId = 227
[B5S2] : dis=25  2021-04-24 05:40:23.413  net_delay = 26ms  time_gap =3.047s  termId = 228
[B5S2] : dis=27  2021-04-24 05:40:26.354  net_delay = 33ms  time_gap =2.941s  termId = 229
[B5S2] : dis=25  2021-04-24 05:40:26.421  net_delay = 30ms  time_gap =0.067s  termId = 230
[B5S2] : dis=25  2021-04-24 05:40:29.475  net_delay = 26ms  time_gap =3.054s  termId = 231
[B5S2] : dis=25  2021-04-24 05:40:32.487  net_delay = 27ms  time_gap =3.012s  termId = 232
